,favorite_count,retweet_count,sentiment,source,text,user_fav_count,user_follower_count,user_friends_count,user_name,user_screen_name,user_url
661,0,51,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",42500,778,833,Entire  ,Pradeep__Maurya,
662,0,51,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",22768,1851,453,Bajwa             ,ShakkrPara,
663,0,51,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",47236,150,307,adityaavadhoot,AdityaAvadhoot,
664,1,0,neutral,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Jitender Singh Tomar the man Arvind Kejriwal made Delhi's law minister is no longer an LLB! University revoked his degree !,112,5009,961,Raghav Chopra,AarSee,https://t.co/S6f9sO3mHJ
665,0,52,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Chopdasaab: Hi @shilpitewari Here's a complete list against not Arvind but rest of them too. Its out there in Public Domain. https://t.,7189,54,259,Vengai Krishnan,KrishnanVengai,
666,0,0,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Really amusing.

Majority of the well educated youth attack Arvind Kejriwal and defend Adityanath.

Education level in India is horrible",981,1077,1117,Dr.Shibsankar Mahato,ssmahata,https://t.co/kcRVVmnG4R
667,0,2,negative,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AniilkumarAnil: PM Modi and Akhilesh show that in a game of men, there is no place for boys like... https://t.co/uJ4f9Y2Rga by #ToharTa",18103,1296,306,Sudhir Puthran,SudhirPuthran,
668,0,1,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @iamberagarwal: Excellent article by @FinancialXpress: Perfectly highlights the need of maturity in the Delhi CM.
@NupurSharmaBJP 
https",297,37,80,Prasanna Singh,prasannaa97,
669,0,41,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sush091979: PM Modi and Akhilesh show that in a game of men, there is no place for boys like ArvindKejriwal https://t.co/e5xLdABtbM",5025,61,461,Kumar Anupam,Anupam19,
670,0,81,positive,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @MixedRaita: Almost an Arvind Kejriwal tweet. Kind of surprised at lack of sensitivity and facts coming from you Rahul Raj. Maandir waal,31,651,1020,William,william_valves,
671,0,52,negative,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @FinancialXpress: PM #Modi and #AkhileshYadav show that in game of men, there is no place for boys like #ArvindKejriwal
@narendramodi 
h",1061,47,68,tjvj,tjvish,
672,0,0,positive,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",Arvind kejriwal is personally verifying UP CM Maths BSc Degree :P #YogiAdityanath https://t.co/VuWQsWU78S,52,49,11,Funjabi Munda,ifunjabimunda,http://t.co/ttMqMKZKR5
673,0,51,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AAPInNews: Delhi CM Arvind Kejriwal sharpens attack on corruption charge against MCDs

https://t.co/481COxbYrK",4639,3146,4174,dee,darkdestinynme,
674,0,41,negative,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sush091979: PM Modi and Akhilesh show that in a game of men, there is no place for boys like ArvindKejriwal https://t.co/e5xLdABtbM",20282,18729,69,  ,e_Devii,
675,0,0,neutral,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",03-20 Afternoon at the dam. #klirou https://t.co/2zg5JccFJg #klirou https://t.co/gO1nUgV6Ek #klirou,16958,25461,25567,LYDIA,lydiavanborg,
676,0,81,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @MixedRaita: Almost an Arvind Kejriwal tweet. Kind of surprised at lack of sensitivity and facts coming from you Rahul Raj. Maandir waal,150390,1150,968,Saravanan Shanmugam,saravananmss,
677,0,0,negative,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis: turn sharing into growth</a>","PM Modi and Akhilesh show that in a game of men, there is no place for boys like... https://t.co/vHzlXydSlC by #anitbh via @c0nvey",475,536,429,Dubai Fruit n Veg Co,chomals,
678,0,0,neutral,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",                 Arvind Kejriwal    ,285,48,92,gaurav mahajan ,gaurav110063,https://t.co/2428nlUXUC
679,0,52,positive,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @Chopdasaab: Hi @shilpitewari Here's a complete list against not Arvind but rest of them too. Its out there in Public Domain. https://t.,201,7,13,Anne Bond,evgeriykhfi,
